some,position,weight
yes,6,0.1334121823310852
yes,6,0.07544901221990585
yes,6,0.11170966923236847
yes,6,0.18055635690689087
yes,6,0.10922331362962723
yes,6,0.19638432562351227
yes,6,0.07323721796274185
yes,6,0.0971900150179863
yes,6,0.1928524225950241
yes,6,0.0851840153336525
yes,6,0.1479015350341797
yes,6,0.12441906332969666
yes,6,0.13522110879421234
yes,6,0.14221450686454773
yes,6,0.15897606313228607
yes,6,0.1134311854839325
yes,6,0.10437227785587311
yes,6,0.14404460787773132
yes,6,0.0901409164071083
yes,6,0.11962668597698212
yes,6,0.2245417833328247
yes,6,0.05894608050584793
yes,6,0.13860610127449036
yes,6,0.13987070322036743
yes,6,0.13504542410373688
yes,6,0.1356157660484314
yes,6,0.09195652604103088
yes,6,0.08923964202404022
yes,6,0.1250995695590973
yes,6,0.10906987637281418
yes,6,0.1305791288614273
yes,6,0.14921675622463226
yes,6,0.08209366351366043
yes,6,0.06593921035528183
yes,6,0.09635312855243683
yes,6,0.09258802235126495
yes,6,0.08130199462175369
yes,6,0.111052006483078
yes,6,0.09223834425210953
yes,6,0.0640878900885582
yes,6,0.09677142649888992
yes,6,0.07415365427732468
yes,6,0.11422795802354813
yes,6,0.08631016314029694
yes,6,0.06731992959976196
yes,6,0.10999861359596252
yes,6,0.14966991543769836
yes,6,0.09249885380268097
yes,6,0.10388735681772232
yes,6,0.10090645402669907
yes,6,0.07626906782388687
yes,6,0.10601206123828888
yes,6,0.09134581685066223
yes,6,0.07740990817546844
yes,6,0.06610061973333359
yes,6,0.09243732690811157
yes,6,0.08971218019723892
yes,6,0.08546552807092667
yes,6,0.12224361300468445
yes,6,0.06496075540781021
yes,6,0.1307372748851776
yes,6,0.09007318317890167
yes,6,0.1499709039926529
yes,6,0.13360509276390076
yes,6,0.15050369501113892
yes,6,0.09644067287445068
yes,6,0.12382456660270691
yes,6,0.08761651813983917
yes,6,0.17847532033920288
yes,6,0.15813042223453522
yes,6,0.17218339443206787
yes,6,0.09517183154821396
yes,6,0.14350354671478271
yes,6,0.09424053132534027
yes,6,0.12063456326723099
yes,6,0.12164008617401123
yes,16,0.09223940968513489
yes,16,0.20021861791610718
yes,16,0.14094877243041992
yes,16,0.159910649061203
yes,16,0.06282171607017517
yes,16,0.11949861794710159
yes,16,0.08407268673181534
yes,16,0.13866177201271057
yes,16,0.12112076580524445
yes,16,0.20260916650295258
yes,16,0.15025204420089722
yes,16,0.06461939960718155
yes,16,0.32307979464530945
yes,16,0.10903136432170868
yes,16,0.10426751524209976
yes,16,0.11014322191476822
yes,16,0.06646937131881714
yes,16,0.14937534928321838
yes,16,0.07823589444160461
yes,16,0.11188142746686935
yes,16,0.0798477977514267
yes,16,0.07822000235319138
yes,16,0.08409202843904495
yes,16,0.061894018203020096
yes,16,0.1038857251405716
yes,16,0.2413739264011383
yes,16,0.08378507196903229
yes,16,0.20481808483600616
yes,16,0.14625759422779083
yes,16,0.1654546856880188
yes,16,0.0904281958937645
yes,16,0.2413375824689865
yes,16,0.15199586749076843
yes,9,0.09470449388027191
yes,9,0.06277722120285034
yes,9,0.09458737075328827
yes,9,0.0849410891532898
yes,9,0.07487521320581436
yes,9,0.09828950464725494
yes,9,0.08904797583818436
yes,9,0.13831670582294464
yes,9,0.11477407068014145
yes,9,0.10471567511558533
yes,9,0.12585583329200745
yes,9,0.10668454319238663
yes,9,0.157574862241745
yes,9,0.1699640303850174
yes,9,0.08911674469709396
yes,9,0.08772967010736465
yes,9,0.13244318962097168
yes,9,0.09660311043262482
yes,9,0.08687788248062134
yes,9,0.2223382592201233
yes,9,0.1121382787823677
yes,9,0.09820426255464554
yes,9,0.15781213343143463
yes,9,0.15240252017974854
yes,9,0.10372405499219894
yes,9,0.10506606847047806
yes,9,0.08105834573507309
yes,9,0.08821488171815872
yes,9,0.18931493163108826
yes,9,0.11268190294504166
yes,9,0.08155262470245361
yes,9,0.15528541803359985
yes,9,0.06516898423433304
yes,9,0.06513624638319016
yes,9,0.11782728135585785
yes,9,0.10676699876785278
yes,9,0.13577750325202942
yes,9,0.09430951625108719
yes,9,0.1777721345424652
yes,9,0.1328827440738678
yes,9,0.10439038276672363
yes,9,0.10625285655260086
yes,9,0.0865490734577179
yes,9,0.06485546380281448
yes,9,0.08032039552927017
